IBGE;NU_IDENTIFICADOR;Q_completo;q40_3;q40_8;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;estado;DataCenso;DataCenso_2019;q40_2_rec;Idade;Faixas_etarias;d_40_8;d_40_11;d_40_8bin1;d_40_8bin2;d_40_8bin3;d_40_10bin1;d_40_10bin2;d_40_10bin3;d_40_10bin4;d_40_10bin5;d_40_11bin1;d_40_11bin2;d_40_11bin3;d_40_11bin4;d_40_8bin1_sum;d_40_8bin2_sum;d_40_8bin3_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;d_40_10bin5_sum;d_40_11bin1_sum;d_40_11bin2_sum;d_40_11bin3_sum;d_40_11bin4_sum;nu_trabalhadores;filter_$
315230;3152303501117; ;1;253;239;265;349;272;01/07/2017;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;12/6/1969;49;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315230;3152303501117; ;1;257;275;138;217;272;01/07/2016;3152303;31;3;Porto Fir;10417;4831;5586;Pequeno I;284,777;2;31.08.2019;8/31/2019;8/22/1967;52;4;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;4;6;3;1;0;0;1;2;0;0;10;12;0
315240;3152403500682; ;2;257;278;138;218;272;04/02/2019;3152402;31;3;Poté;15667;9337;6330;Pequeno I;625,111;2;31.08.2019;8/31/2019;11/1/1975;43;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;1;5;2;1;0;0;0;5;0;0;1;6;0
315240;3152403500682; ;1;258;275;138;21;272;04/02/2019;3152402;31;3;Poté;15667;9337;6330;Pequeno I;625,111;2;31.08.2019;8/31/2019;6/16/1977;42;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;1;5;2;1;0;0;0;5;0;0;1;6;0
315240;3152403500682; ;1;258;273;265;218;262;16/05/2019;3152402;31;3;Poté;15667;9337;6330;Pequeno I;625,111;2;31.08.2019;8/31/2019;6/4/1983;36;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;1;5;2;1;0;0;0;5;0;0;1;6;0
315240;3152403500682; ;1;255;239;138;349;272;20/05/2019;3152402;31;3;Poté;15667;9337;6330;Pequeno I;625,111;2;31.08.2019;8/31/2019;9/26/1983;35;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;1;5;2;1;0;0;0;5;0;0;1;6;0
315240;3152403500682; ;1;257;275;138;217;20;04/02/2019;3152402;31;3;Poté;15667;9337;6330;Pequeno I;625,111;2;31.08.2019;8/31/2019;6/27/1965;54;4;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;1;5;2;1;0;0;0;5;0;0;1;6;0
315240;3152403500682; ;1;257;237;138;217;272;04/02/2019;3152402;31;3;Poté;15667;9337;6330;Pequeno I;625,111;2;31.08.2019;8/31/2019;6/18/1965;54;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;1;5;2;1;0;0;0;5;0;0;1;6;0
315250;3152503500488; ;1;258;275;363;217;272;01/02/2011;3152501;31;3;Pouso Ale;130615;119590;11025;Grande;542,797;2;31.08.2019;8/31/2019;12/4/1976;42;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;10;15;64;31;3;0;0;5;6;3;0;80;89;0
315250;3152503500488; ;1;258;275;138;254;272;06/02/2019;3152501;31;3;Pouso Ale;130615;119590;11025;Grande;542,797;2;31.08.2019;8/31/2019;9/5/1971;47;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;10;15;64;31;3;0;0;5;6;3;0;80;89;0
315250;3152503500488; ;1;257;274;363;218;262;03/09/2018;3152501;31;3;Pouso Ale;130615;119590;11025;Grande;542,797;2;31.08.2019;8/31/2019;7/9/1993;26;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;10;15;64;31;3;0;0;5;6;3;0;80;89;0
315250;3152503500488; ;1;258;273;363;254;272;01/06/1990;3152501;31;3;Pouso Ale;130615;119590;11025;Grande;542,797;2;31.08.2019;8/31/2019;4/11/1956;63;5;2;4; ; ;1; ;1; ; ; ; ; ; ;1;10;15;64;31;3;0;0;5;6;3;0;80;89;0
315250;3152503500488; ;1;257;274;363;218;20;02/05/2014;3152501;31;3;Pouso Ale;130615;119590;11025;Grande;542,797;2;31.08.2019;8/31/2019;7/20/1975;44;3;2;4; ; ;1; ; ; ; ;1; ; ; ;1;10;15;64;31;3;0;0;5;6;3;0;80;89;0
315250;3152503500488; ;1;252;239;363;254;263;01/11/2001;3152501;31;3;Pouso Ale;130615;119590;11025;Grande;542,797;2;31.08.2019;8/31/2019;10/31/1976;42;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;10;15;64;31;3;0;0;5;6;3;0;80;89;0
